Name,DG_Year,DG_Amount,Publications_6Yrs,Citations_6Yrs
"Bonakdarpour, Borzoo",2015,6396.0,51,714
"Bonakdarpour, Borzoo",2016,27000.0,56,856
"Borodin, Allan",2012,74000.0,25,566
"Borodin, Allan",2014,74000.0,26,702
"Borodin, Allan",2015,74000.0,25,714
"Borodin, Allan",2016,74000.0,20,574
"Borodin, Allan",2013,74000.0,25,669
"Boutilier, Craig",2013,66000.0,64,3608
"Boutilier, Craig",2016,66000.0,53,3289
"Boutilier, Craig",2015,66000.0,57,3463
"Boutilier, Craig",2017,66000.0,47,2773
"Boutilier, Craig",2012,66000.0,63,3778
"Boutilier, Craig",2014,66000.0,57,3333
"Boutilier, Craig",2009,66000.0,54,3065
"Boutilier, Craig",2008,66000.0,53,3689
"Boutilier, Craig",2011,66000.0,52,2372
"Boutilier, Craig",2010,66000.0,53,2537
"Bouzouane, Abdenour",2013,14000.0,33,715
"Bouzouane, Abdenour",2012,14000.0,24,550
"Bouzouane, Abdenour",2019,20000.0,90,979
"Bouzouane, Abdenour",2014,14000.0,47,813
"Bouzouane, Abdenour",2015,14000.0,62,1006
"Bouzouane, Abdenour",2016,14000.0,79,1238
"bouzouane, abdenour",2018,20000.0,91,1109
"bouzouane, abdenour",2017,20000.0,83,1207
"bouzouane, abdenour",2020,20000.0,75,792
"bouzouane, abdenour",2021,20000.0,63,615
"bouzouane, abdenour",2022,20000.0,48,377
"Bowman, William",2020,33000.0,0,0
"Bowman, William",2021,33000.0,0,0
"Bowman, William",2022,33000.0,0,0
"Bowman, William",2023,33000.0,0,0
"Boyd, Jeffrey",2018,15000.0,21,13647
"Boyd, Jeffrey",2016,15000.0,20,11988
"Boyd, Jeffrey",2015,15000.0,17,9231
"Boyd, Jeffrey",2008,22000.0,57,6877
"Boyd, Jeffrey",2014,15000.0,22,6064
"Boyd, Jeffrey",2013,15000.0,24,6168
"Boyd, Jeffrey",2010,22000.0,52,5450
"Boyd, Jeffrey",2012,22000.0,29,2816
"Boyd, Jeffrey",2009,22000.0,55,6030
"Boykov, Yuri",2017,84800.0,54,1410
"Boykov, Yuri",2021,169600.0,31,3903
"Boykov, Yuri",2019,84800.0,51,1778
"Boykov, Yuri",2020,84800.0,37,1431
"Boykov, Yuri",2018,84800.0,52,1367
"Bradbury, Jeremy",2012,15000.0,17,251
"Bradbury, Jeremy",2011,15000.0,16,266
"Bradbury, Jeremy",2010,15000.0,17,585
"Bradbury, Jeremy",2009,15000.0,18,648
"Bradbury, Jeremy",2008,15000.0,19,649
"Bradbury, Jeremy",2017,15000.0,14,99
"Bradbury, Jeremy",2013,15000.0,15,140
"Bradbury, Jeremy",2014,15000.0,15,125
"Bradbury, Jeremy",2015,15000.0,15,125
"Bradbury, Jeremy",2016,15000.0,16,110
"Brecht, Tim",2018,23000.0,22,368
"Brecht, Tim",2017,23000.0,18,288
"Brecht, Tim",2019,23000.0,27,378
"Brecht, Tim",2020,23000.0,28,372
"Brecht, Tim",2021,46000.0,31,432
"Brecht, Timothy",2015,28000.0,6,145
"Brecht, Timothy",2012,28000.0,9,3
"Brecht, Timothy",2013,28000.0,9,4
"Brecht, Timothy",2016,28000.0,7,147
"Brecht, Timothy",2008,38000.0,9,16
"Brecht, Timothy",2014,28000.0,5,3
"Brecht, Timothy",2009,38000.0,10,16
"Brecht, Timothy",2010,38000.0,7,9
"Brecht, Timothy",2011,38000.0,8,1
"Bremner, Murray",2010,11000.0,18,199
"Bremner, Murray",2008,11000.0,12,122
"Bremner, Murray",2009,11000.0,11,108
"Briand, Lionel",2022,64000.0,138,3668
"Briand, Lionel",2023,64000.0,134,3387
"Briand, Lionel",2020,64000.0,148,5115
"Briand, Lionel",2021,64000.0,145,4381
"Briand, Lionel",2008,37700.0,87,6678
"Bridson, Robert",2017,62000.0,32,1154
"Bridson, Robert",2016,62000.0,34,1278
"Bridson, Robert",2015,62000.0,31,1333
"Bridson, Robert",2014,62000.0,33,1959
"Bridson, Robert",2012,26000.0,29,2406
"Bridson, Robert",2013,62000.0,33,3056
"Bridson, Robert",2008,26000.0,21,4352
"Bridson, Robert",2009,26000.0,27,4153
"Bridson, Robert",2010,26000.0,28,3543
"Bridson, Robert",2011,26000.0,33,3704
"Brinkman, Ryan",2014,43000.0,76,5588
"Brinkman, Ryan",2013,43000.0,68,5394
"Brinkman, Ryan",2015,43000.0,76,4500
"Brinkman, Ryan",2016,43000.0,65,2924
"Brinkman, Ryan",2018,43000.0,60,4012
"Brinkman, Ryan",2020,33600.0,55,3011
"Brinkman, Ryan",2023,33600.0,40,1982
"Brinkman, Ryan",2021,33600.0,55,2859
"Brinkman, Ryan",2022,33600.0,46,2675
"Brown, Trevor",2022,39000.0,12,256
"Brown, Trevor",2023,39000.0,11,165
"Brown, Trevor",2021,39000.0,12,265
"Brown, Trevor",2020,39000.0,17,313
"Bruda, Stefan",2008,15000.0,7,34
"Bruda, Stefan",2009,15000.0,11,39
"Bruda, Stefan",2011,15000.0,28,101
"Bruda, Stefan",2012,15000.0,34,156
"Bruda, Stefan",2010,15000.0,19,85
"Brysiewicz, Taylor",2023,31000.0,4,10
"Buhr, Peter",2011,19000.0,7,152
"Buhr, Peter",2012,19000.0,4,129
"Buhr, Peter",2023,24000.0,5,10
"Buhr, Peter",2018,20000.0,10,75
"Buhr, Peter",2017,20000.0,11,94
"Buhr, Peter",2022,24000.0,11,31
"Buhr, Peter",2020,24000.0,10,50
"Buhr, Peter",2021,24000.0,11,50
"Buhr, Peter",2015,20000.0,4,54
"Buhr, Peter",2014,20000.0,5,56
"Buhr, Peter",2016,20000.0,5,73
"Buhr, Peter",2010,19000.0,7,152
"Buhr, Peter",2009,19000.0,7,152
